,Geohash,Latitude,Longitude,Tanggal
7954,w0pgzkn29c,0.6812462210655212,101.2257045507431,2020-3-12
7955,w214rqgx1c,0.4337963461875915,102.97974050045012,2020-3-12
7956,w24q726us8,1.100781261920929,104.56085979938509,2020-3-12
7957,w0p3xeddgp,0.2834102511405945,100.5284696817398,2020-3-12
7958,w20x96c5cu,1.3341334462165833,102.00951039791109,2020-3-12
7959,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-12
7960,w21uc9qkck,0.8426669239997864,103.78549754619598,2020-3-13
7961,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7962,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7963,w21uc9qkck,0.8426669239997864,103.78549754619598,2020-3-13
7964,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-13
7965,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7966,w21hhd564b,0.7144573330879211,102.85859048366548,2020-3-13
7967,qr9mezqb8p,-1.805751621723175,103.1818825006485,2020-3-13
7968,w210b1gccg,0.1417681574821472,102.66148030757904,2020-3-13
7969,w211wbyt8p,0.2687761187553406,102.9618126153946,2020-3-13
7970,w210b1gccg,0.1417681574821472,102.66148030757904,2020-3-13
7971,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7972,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-13
7973,w24hh583vb,0.7226541638374329,104.2388767004013,2020-3-13
7974,w213bspuvj,0.3304347395896911,103.04064810276031,2020-3-13
7975,w0t8wj95vy,2.931281626224518,97.99967229366302,2020-3-13
7976,w0tccpvygv,3.1638774275779724,98.13794553279877,2020-3-13
7977,w224gmzf5n,1.9216123223304749,101.40359938144684,2020-3-13
7978,w20zcx0t5q,1.4016500115394592,102.37143695354462,2020-3-13
7979,w211wbyt8p,0.2687761187553406,102.9618126153946,2020-3-13
7980,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-13
7981,qr9mezqb8p,-1.805751621723175,103.1818825006485,2020-3-13
7982,w215e11e4c,0.621250569820404,102.79026925563812,2020-3-13
7983,w20zcx0t5q,1.4016500115394592,102.37143695354462,2020-3-13
7984,w20zcx0t5q,1.4016500115394592,102.37143695354462,2020-3-13
7985,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7986,w210b1gccg,0.1417681574821472,102.66148030757904,2020-3-13
7987,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7988,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7989,qr9mezqb8p,-1.805751621723175,103.1818825006485,2020-3-13
7990,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7991,w21uc9qkck,0.8426669239997864,103.78549754619598,2020-3-13
7992,w21hg5c1w7,0.8558365702629089,102.78973281383514,2020-3-13
7993,qr9mezqb8p,-1.805751621723175,103.1818825006485,2020-3-13
7994,w20sx0hm43,0.7918819785118103,102.26668059825896,2020-3-13
7995,w21uc9qkck,0.8426669239997864,103.78549754619598,2020-3-13
7996,w211wbyt8p,0.2687761187553406,102.9618126153946,2020-3-13
7997,w20uc61twu,0.8469155430793762,102.36197412014008,2020-3-13
7998,w21uc9qkck,0.8426669239997864,103.78549754619598,2020-3-13
7999,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-13
8000,w224gmzf5n,1.9216123223304749,101.40359938144684,2020-3-13
8001,qr9mezqb8p,-1.805751621723175,103.1818825006485,2020-3-13
8002,qr9mezqb8p,-1.805751621723175,103.1818825006485,2020-3-13
8003,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-13
8004,w211wbyt8p,0.2687761187553406,102.9618126153946,2020-3-13
8005,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-13
8006,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8007,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8008,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8009,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8010,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8011,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8012,w24q1jnkj0,1.0828426480293274,104.46681082248688,2020-3-14
8013,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8014,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8015,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8016,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8017,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8018,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8019,w20egrs1qd,0.7006064057350159,102.10172474384308,2020-3-14
