,Hari,Bulan,Tahun,WD10M,WD2M,T2M
442,25,4,2016,97.19,97.19,29.55
443,25,4,2016,216.88,234.25,26.33
444,26,4,2016,167.19,166.81,27.74
445,26,4,2016,203.25,203.25,30.08
446,26,4,2016,251.06,224.69,24.22
447,26,4,2016,251.06,224.69,24.22
448,26,4,2016,251.06,224.69,24.22
449,26,4,2016,251.06,224.69,24.22
450,26,4,2016,165.06,160.31,27.93
451,26,4,2016,251.06,224.69,24.22
452,26,4,2016,165.06,160.31,27.93
453,26,4,2016,165.06,160.31,27.93
454,26,4,2016,167.19,166.81,27.74
455,26,4,2016,203.25,203.25,30.08
456,26,4,2016,251.06,224.69,24.22
457,26,4,2016,251.06,224.69,24.22
458,26,4,2016,158.0,155.81,27.92
459,26,4,2016,251.06,224.69,24.22
460,26,4,2016,165.06,160.31,27.93
461,26,4,2016,168.38,194.81,26.89
462,26,4,2016,165.06,160.31,27.93
463,26,4,2016,251.06,224.69,24.22
464,26,4,2016,251.06,224.69,24.22
465,26,4,2016,165.06,160.31,27.93
466,27,4,2016,149.44,148.38,27.48
467,27,4,2016,167.69,168.56,28.18
468,27,4,2016,102.38,119.88,27.46
469,27,4,2016,161.56,161.0,28.29
470,27,4,2016,161.56,161.0,28.29
471,27,4,2016,146.44,144.69,27.0
472,27,4,2016,149.44,148.38,27.48
473,27,4,2016,149.44,148.38,27.48
474,27,4,2016,177.12,148.56,27.26
475,27,4,2016,163.88,165.25,27.51
476,27,4,2016,139.81,139.44,27.44
477,27,4,2016,149.44,148.38,27.48
478,27,4,2016,162.0,162.25,27.82
479,28,4,2016,140.0,140.12,28.96
480,28,4,2016,135.69,135.62,28.61
481,28,4,2016,113.94,114.0,30.33
482,28,4,2016,140.0,140.12,28.96
483,28,4,2016,142.12,146.69,27.91
484,28,4,2016,143.31,143.38,30.14
485,28,4,2016,113.94,114.0,30.33
486,28,4,2016,114.5,113.06,28.38
487,28,4,2016,140.0,140.12,28.96
488,29,4,2016,111.31,113.25,26.76
489,29,4,2016,122.81,126.19,26.78
490,29,4,2016,111.31,113.25,26.76
491,29,4,2016,122.5,120.88,27.67
492,29,4,2016,139.31,136.81,26.83
493,29,4,2016,100.25,104.56,27.04
494,29,4,2016,111.31,113.25,26.76
495,29,4,2016,113.81,115.19,27.36
496,29,4,2016,121.06,127.06,27.18
497,29,4,2016,219.88,223.69,24.17
498,29,4,2016,219.88,223.69,24.17
499,29,4,2016,111.31,113.25,26.76
500,29,4,2016,113.81,115.19,27.36
501,29,4,2016,121.06,127.06,27.18
502,29,4,2016,113.81,115.19,27.36
503,29,4,2016,100.25,104.56,27.04
504,29,4,2016,108.94,108.88,27.24
505,29,4,2016,121.06,127.06,27.18
506,29,4,2016,119.75,119.31,28.3
507,29,4,2016,100.25,104.56,27.04
508,29,4,2016,139.31,136.81,26.83
509,29,4,2016,119.75,119.31,28.3
510,29,4,2016,175.94,174.0,26.89
511,29,4,2016,137.88,248.19,21.8
512,29,4,2016,122.5,120.88,27.67
513,29,4,2016,155.94,155.62,26.48
514,29,4,2016,155.94,155.62,26.48
515,29,4,2016,122.5,120.88,27.67
516,29,4,2016,127.31,134.06,25.26
517,29,4,2016,221.69,221.62,26.31
518,29,4,2016,226.62,224.06,25.69
519,29,4,2016,114.56,113.75,27.87
520,29,4,2016,213.75,213.19,25.23
521,29,4,2016,226.62,224.06,25.69
522,29,4,2016,122.5,120.88,27.67
523,29,4,2016,124.56,135.81,25.93
524,29,4,2016,137.88,248.19,21.8
525,29,4,2016,209.62,235.38,23.96
526,29,4,2016,113.81,115.19,27.36
527,29,4,2016,161.44,174.88,27.2
528,29,4,2016,114.56,113.75,27.87
529,29,4,2016,100.25,104.56,27.04
530,29,4,2016,115.56,117.5,27.13
531,29,4,2016,111.31,113.25,26.76
532,29,4,2016,119.75,119.31,28.3
533,29,4,2016,122.5,120.88,27.67
534,29,4,2016,124.56,135.81,25.93
535,29,4,2016,219.88,223.69,24.17
536,29,4,2016,155.94,155.62,26.48
537,29,4,2016,108.94,108.88,27.24
538,29,4,2016,118.94,118.56,27.84
539,29,4,2016,221.69,221.62,26.31
540,29,4,2016,143.31,142.31,25.6
541,29,4,2016,111.31,113.25,26.76
542,29,4,2016,221.69,221.62,26.31
543,29,4,2016,175.94,174.0,26.89
544,29,4,2016,118.0,119.19,27.15
545,29,4,2016,175.94,174.0,26.89
546,29,4,2016,118.94,118.56,27.84
547,29,4,2016,113.81,115.19,27.36
548,29,4,2016,119.75,119.31,28.3
549,29,4,2016,157.25,131.38,27.42
550,29,4,2016,100.25,104.56,27.04
551,29,4,2016,100.25,104.56,27.04
552,29,4,2016,157.25,131.38,27.42
553,29,4,2016,115.56,117.5,27.13
554,29,4,2016,122.5,120.88,27.67
555,29,4,2016,209.62,235.38,23.96
556,29,4,2016,108.94,108.88,27.24
557,29,4,2016,115.56,117.5,27.13
558,29,4,2016,106.06,106.62,27.84
559,29,4,2016,119.75,119.31,28.3
560,29,4,2016,111.31,113.25,26.76
561,29,4,2016,161.44,174.88,27.2
562,29,4,2016,113.81,115.19,27.36
563,29,4,2016,213.75,213.19,25.23
564,29,4,2016,127.31,134.06,25.26
565,30,4,2016,91.25,91.25,29.65
566,30,4,2016,91.25,91.25,29.65
567,30,4,2016,91.25,91.25,29.65
568,30,4,2016,91.25,91.25,29.65
569,30,4,2016,96.81,96.81,29.58
570,30,4,2016,96.81,96.81,29.58
571,30,4,2016,91.25,91.25,29.65
572,30,4,2016,91.25,91.25,29.65
573,1,5,2016,134.25,134.0,27.06
574,1,5,2016,107.5,107.56,29.59
575,1,5,2016,173.5,166.88,24.85
576,1,5,2016,140.81,140.31,27.83
577,1,5,2016,281.44,281.31,29.1
578,1,5,2016,155.62,163.75,28.29
579,1,5,2016,109.81,111.0,29.41
580,1,5,2016,281.44,281.31,29.1
581,1,5,2016,109.81,111.0,29.41
582,1,5,2016,130.62,130.06,26.12
583,1,5,2016,134.25,134.0,27.06
584,1,5,2016,107.5,107.56,29.59
585,1,5,2016,173.5,166.88,24.85
586,1,5,2016,134.25,134.0,27.06
587,1,5,2016,281.44,281.31,29.1
588,1,5,2016,140.81,140.31,27.83
589,1,5,2016,130.62,130.06,26.12
590,1,5,2016,134.25,134.0,27.06
591,1,5,2016,109.81,111.0,29.41
592,1,5,2016,134.25,134.0,27.06
593,1,5,2016,155.62,163.75,28.29
594,1,5,2016,134.25,134.0,27.06
595,1,5,2016,281.44,281.31,29.1
596,1,5,2016,173.5,166.88,24.85
